latitude,longitude,status
52.7748926,-1.2120526999999999,picking
52.77483363333334,-1.2119674,picking
52.774774666666666,-1.2118821000000004,picking
52.7747157,-1.2117968000000006,picking
52.77465673333334,-1.2117115000000007,picking
52.774597766666666,-1.211626200000001,picking
52.7745388,-1.2115409000000013,picking
52.77449032,-1.2114291400000012,picking
52.77444184,-1.211317380000001,picking
52.77439336,-1.211205620000001,picking
52.77434488,-1.2110938600000007,picking
52.7742964,-1.2109821000000007,picking
52.77428966,-1.2108564200000005,picking
52.774282920000005,-1.2107307400000002,picking
52.77427618,-1.2106050599999998,picking
52.774269440000005,-1.2104793799999995,picking
52.77426270000001,-1.2103536999999993,picking
52.774300800000006,-1.2102342999999995,picking
52.774338900000004,-1.2101148999999998,picking
52.77437700000001,-1.2099955000000002,picking
52.774415100000006,-1.2098761000000005,picking
52.7744216,-1.2098313000000007,picking
52.77444610833333,-1.2097050916666672,picking
52.77447061666666,-1.2095788833333339,picking
52.774495124999994,-1.2094526750000003,picking
52.77451963333333,-1.209326466666667,picking
52.77454414166666,-1.2092002583333334,picking
52.77456864999999,-1.20907405,picking
52.774593158333325,-1.2089478416666666,picking
52.77461766666666,-1.208821633333333,picking
52.77464217499999,-1.2086954249999997,picking
52.77466668333332,-1.2085692166666662,picking
52.774691191666655,-1.2084430083333328,picking
52.77471569999999,-1.2083167999999993,picking
52.77473993333332,-1.2081802,picking
52.77476416666666,-1.2080436000000006,picking
52.77478839999999,-1.2079070000000012,picking
52.77483699999999,-1.2076860000000007,picking
52.77478173749999,-1.2076006500000007,picking
52.774726474999994,-1.2075153000000007,picking
52.77467121249999,-1.2074299500000008,picking
52.77461594999999,-1.2073446000000008,picking
52.77456068749999,-1.2072592500000006,picking
52.77450542499999,-1.2071739000000006,picking
52.77445016249999,-1.2070885500000006,picking
52.77439489999999,-1.2070032000000006,delivering
52.77435669999999,-1.2068949571428578,delivering
52.77431849999999,-1.206786714285715,delivering
52.774280299999994,-1.206678471428572,delivering
52.77424209999999,-1.2065702285714293,delivering
52.77420389999999,-1.2064619857142864,delivering
52.77416569999999,-1.2063537428571436,delivering
52.77412749999999,-1.2062455000000005,delivering
52.77408929999999,-1.2061372571428577,delivering
52.774051099999994,-1.2060290142857149,delivering
52.774012899999995,-1.205920771428572,delivering
52.77397469999999,-1.2058125285714292,delivering
52.77393649999999,-1.2057042857142863,delivering
52.77389829999999,-1.2055960428571435,delivering
52.77386009999999,-1.2054878000000007,delivering
52.77380111666666,-1.2053884666666672,delivering
52.77374213333333,-1.2052891333333338,delivering
52.77368315,-1.2051898000000003,delivering
52.773624166666664,-1.205090466666667,delivering
52.77356518333333,-1.2049911333333336,delivering
52.7735062,-1.2048918000000002,delivering
52.77347366666667,-1.2047376333333337,delivering
52.77344113333333,-1.204583466666667,delivering
52.773408599999996,-1.2044293000000006,delivering
52.77335852499999,-1.2043202750000006,delivering
52.773308449999995,-1.2042112500000006,delivering
52.773258375,-1.2041022250000006,delivering
52.77320829999999,-1.2039932000000007,delivering
52.77315208571428,-1.2039113428571435,delivering
52.773095871428566,-1.2038294857142862,delivering
52.77303965714285,-1.203747628571429,delivering
52.77298344285714,-1.203665771428572,delivering
52.772927228571426,-1.2035839142857148,delivering
52.77287101428571,-1.2035020571428574,delivering
52.7728148,-1.2034202000000003,delivering
52.77274678888889,-1.2033547888888891,delivering
52.77267877777778,-1.2032893777777782,delivering
52.772610766666666,-1.203223966666667,delivering
52.772542755555556,-1.2031585555555562,delivering
52.772474744444445,-1.203093144444445,delivering
52.772406733333334,-1.203027733333334,delivering
52.77233872222222,-1.202962322222223,delivering
52.77227071111111,-1.2028969111111119,delivering
52.772202699999994,-1.2028315000000007,delivering
52.77213468888888,-1.2027660888888898,delivering
52.77206667777777,-1.2027006777777787,delivering
52.77199866666666,-1.2026352666666678,delivering
52.77193065555555,-1.2025698555555566,delivering
52.77186264444444,-1.2025044444444455,delivering
52.77179463333333,-1.2024390333333346,delivering
52.77172662222222,-1.2023736222222234,delivering
52.77165861111111,-1.2023082111111125,delivering
52.771590599999996,-1.2022428000000014,delivering
52.77151523636363,-1.2022438181818196,delivering
52.77143987272727,-1.2022448363636375,delivering
52.77136450909091,-1.2022458545454557,delivering
52.771289145454546,-1.202246872727274,delivering
52.77121378181818,-1.2022478909090921,delivering
52.77113841818181,-1.20224890909091,delivering
52.77106305454545,-1.2022499272727283,delivering
52.77098769090909,-1.2022509454545465,delivering
52.770912327272725,-1.2022519636363647,delivering
52.77083696363636,-1.2022529818181826,delivering
52.7707616,-1.2022540000000008,delivering
52.770693599999994,-1.2023126500000005,delivering
52.77062559999999,-1.2023713000000003,delivering
52.77056515999999,-1.2024496000000002,delivering
52.77050471999999,-1.2025279000000004,delivering
52.77044427999999,-1.2026062000000004,delivering
52.770383839999994,-1.2026845000000006,delivering
52.770323399999995,-1.2027628000000006,delivering
52.7702214,-1.2029306000000004,delivering
52.7701744,-1.2030090000000015,delivering
52.770130249999994,-1.2031269000000009,delivering
52.77008609999999,-1.2032448,delivering
52.7700223,-1.2033524999999998,delivering
52.769973433333334,-1.2034585666666666,delivering
52.76992456666667,-1.2035646333333336,delivering
52.7698757,-1.2036707000000004,delivering
52.769828704761906,-1.2037668761904765,delivering
52.76978170952381,-1.2038630523809526,delivering
52.76973471428571,-1.203959228571429,delivering
52.76968771904762,-1.204055404761905,delivering
52.76964072380952,-1.204151580952381,delivering
